,EVID,Depi,Hypo,I,Io,QIo,StdI,StdlogR,Ndata
0,1.0,1.0,2.23606797749979,5.75444181263697,5.926395015176067,0.5,0.25,1.2,10.0
1,1.0,1.064811486234934,2.2657942318793753,5.734070423666158,5.926395015176067,0.5,0.25,1.2,10.0
2,1.0,1.1338235012178493,2.2990336517576035,5.711601014657672,5.926395015176067,0.5,0.25,1.2,10.0
3,1.0,1.2073082874598748,2.3361492462959843,5.686886461821501,5.926395015176067,0.5,0.25,1.2,10.0
4,1.0,1.2855557319139024,2.377530975583008,5.659783046812986,5.926395015176067,0.5,0.25,1.2,10.0
5,1.0,1.3688745095370811,2.4235959693934928,5.630153264833642,5.926395015176067,0.5,0.25,1.2,10.0
6,1.0,1.4575933009692958,2.4747885224864303,5.597868788601991,5.926395015176067,0.5,0.25,1.2,10.0
7,1.0,1.5520620891311996,2.5315798878404574,5.562813472462521,5.926395015176067,0.5,0.25,1.2,10.0
8,1.0,1.6526535398566895,2.5944679074524792,5.5248862603825915,5.926395015176067,0.5,0.25,1.2,10.0
9,1.0,1.7597644720062264,2.6639765383605303,5.484003849722695,5.926395015176067,0.5,0.25,1.2,10.0
10,1.0,1.873817422860384,2.7406553475793216,5.440102962301894,5.926395015176067,0.5,0.25,1.2,10.0
11,1.0,1.9952623149688797,2.8250790618202126,5.393142087116905,5.926395015176067,0.5,0.25,1.2,10.0
12,1.0,2.124578231030568,2.917847264640317,5.343102585162298,5.926395015176067,0.5,0.25,1.2,10.0
13,1.0,2.2622753038060464,3.0195843340120074,5.289989084304101,5.926395015176067,0.5,0.25,1.2,10.0
14,1.0,2.4088967285183034,3.1309397069675717,5.23382913747582,5.926395015176067,0.5,0.25,1.2,10.0
15,1.0,2.5650209056800453,3.2525885455396413,5.174672165717959,5.926395015176067,0.5,0.25,1.2,10.0
16,1.0,2.731263722800846,3.385232861043378,5.112587753405586,5.926395015176067,0.5,0.25,1.2,10.0
17,1.0,2.908280983975128,3.5296031337462486,5.047663401447479,5.926395015176067,0.5,0.25,1.2,10.0
18,1.0,3.096770996935353,3.686460444309688,4.980001871549284,5.926395015176067,0.5,0.25,1.2,10.0
19,1.0,3.2974773277759715,3.856599114141443,4.909718268802701,5.926395015176067,0.5,0.25,1.2,10.0
20,1.0,3.511191734215132,4.040849835668317,4.836937010774152,5.926395015176067,0.5,0.25,1.2,10.0
21,1.0,3.73875728896543,4.240083261657975,4.761788820480433,5.926395015176067,0.5,0.25,1.2,10.0
22,1.0,3.981071705534973,4.455214015578953,4.684407860913084,5.926395015176067,0.5,0.25,1.2,10.0
23,1.0,4.239090879578539,4.6872050824906255,4.604929103456825,5.926395015176067,0.5,0.25,1.2,10.0
24,1.0,4.513832659768977,4.937072541536844,4.523485994993409,5.926395015176067,0.5,0.25,1.2,10.0
25,1.0,4.806380863064391,5.205890605922449,4.440208461591585,5.926395015176067,0.5,0.25,1.2,10.0
26,1.0,5.11788955021074,5.494796943305211,4.355221262629351,5.926395015176067,0.5,0.25,1.2,10.0
27,1.0,5.449587578346137,5.8049982578864325,4.268642689329998,5.926395015176067,0.5,0.25,1.2,10.0
28,1.0,5.802783448666185,6.137776124307095,4.180583586606258,5.926395015176067,0.5,0.25,1.2,10.0
29,1.0,6.178870468273718,6.494493072111562,4.091146666766477,5.926395015176067,0.5,0.25,1.2,10.0
30,1.0,6.579332246575681,6.876598927582632,4.000426077578876,5.926395015176067,0.5,0.25,1.2,10.0
31,1.0,7.00574854790968,7.285637426920076,3.9085071847005444,5.926395015176067,0.5,0.25,1.2,10.0
32,1.0,7.459801523487937,7.7232531209221,3.815466528746411,5.926395015176067,0.5,0.25,1.2,10.0
33,1.0,7.943282347242816,8.19119859654369,3.7213719195063524,5.926395015176067,0.5,0.25,1.2,10.0
34,1.0,8.45809828175134,8.691342045033378,3.6262826333108134,5.926395015176067,0.5,0.25,1.2,10.0
35,1.0,9.006280202112785,9.225675209921967,3.5302496837163324,5.926395015176067,0.5,0.25,1.2,10.0
36,1.0,9.58999060745998,9.796321751104882,3.4333161400861636,5.926395015176067,0.5,0.25,1.2,10.0
37,1.0,10.211532151708521,10.405546063776608,3.3355174729584376,5.926395015176067,0.5,0.25,1.2,10.0
38,1.0,10.873356727196562,11.05576259318509,3.2368819091145276,5.926395015176067,0.5,0.25,1.2,10.0
39,1.0,11.578075137048792,11.749545688202051,3.1374307828610406,5.926395015176067,0.5,0.25,1.2,10.0
40,1.0,12.328467394420665,12.489640038659779,3.037178873163637,5.926395015176067,0.5,0.25,1.2,10.0
41,1.0,13.12749368925199,13.278971743374967,2.9361347189103526,5.926395015176067,0.5,0.25,1.2,10.0
42,1.0,13.978306065792133,14.120660057835863,2.8343009067580565,5.926395015176067,0.5,0.25,1.2,10.0
43,1.0,14.884260856962918,15.018029872726931,2.7316743277683386,5.926395015176067,0.5,0.25,1.2,10.0
44,1.0,15.848931924611142,15.974624976848697,2.628246400418215,5.926395015176067,0.5,0.25,1.2,10.0
45,1.0,16.876124757881477,16.994222160592702,2.524003258629273,5.926395015176067,0.5,0.25,1.2,10.0
46,1.0,17.96989148532595,18.08084621897963,2.418925904247497,5.926395015176067,0.5,0.25,1.2,10.0
47,1.0,19.134546859970413,19.238785916382653,2.3129903239725484,5.926395015176067,0.5,0.25,1.2,10.0
48,1.0,20.37468528039708,20.47261097845679,2.206167571122016,5.926395015176067,0.5,0.25,1.2,10.0
49,1.0,21.695198914988655,21.78719018049195,2.0984238128597257,5.926395015176067,0.5,0.25,1.2,10.0
